IDpg10	IDbsub	BiolProc	MolFun	CellComp
ANY33971.1	BSU00510	GO:0006015 GO:0006139 GO:0006163 GO:0006164 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009117 GO:0009123 GO:0009124 GO:0009156 GO:0009161 GO:0009165 GO:0009987 GO:0016310 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0034641 GO:0034654 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046390 GO:0046391 GO:0046483 GO:0055086 GO:0071704 GO:0072521 GO:0072522 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0000287 GO:0003824 GO:0004749 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016778 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0002189 GO:0005622 GO:0005737 GO:0032991 GO:0061695 GO:0110165 GO:1902494 GO:1990234
ANY33972.1	BSU00520	GO:0006412 GO:0006518 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0019538 GO:0034641 GO:0034645 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0071704 GO:1901564 GO:1901566 GO:1901576	GO:0003676 GO:0003723 GO:0003735 GO:0005198 GO:0005488 GO:0008097 GO:0019843 GO:0097159 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0005840 GO:0015934 GO:0022625 GO:0022626 GO:0032991 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0044391 GO:0110165 GO:1990904
ANY33973.1	BSU00530	GO:0006412 GO:0006518 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009653 GO:0009987 GO:0010467 GO:0019538 GO:0030154 GO:0030435 GO:0032502 GO:0034641 GO:0034645 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0043934 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0048646 GO:0048856 GO:0048869 GO:0071704 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004045 GO:0016787 GO:0016788 GO:0052689 GO:0140098 GO:0140101 GO:0140640	GO:0005622 GO:0005737 GO:0110165
ANY33974.1	BSU00540	GO:0009653 GO:0009987 GO:0010468 GO:0019222 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869 GO:0050789 GO:0060255 GO:0065007	GO:0005488 GO:0043167 GO:0043169 GO:0046872	GO:0005622 GO:0005737 GO:0110165
ANY33975.1	BSU00550	GO:0000715 GO:0000716 GO:0006139 GO:0006259 GO:0006281 GO:0006283 GO:0006289 GO:0006355 GO:0006725 GO:0006807 GO:0006950 GO:0006974 GO:0006996 GO:0008152 GO:0009889 GO:0009987 GO:0010468 GO:0010556 GO:0016043 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0033554 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0050789 GO:0050794 GO:0050896 GO:0051171 GO:0051252 GO:0051276 GO:0051716 GO:0060255 GO:0065007 GO:0071704 GO:0071840 GO:0080090 GO:0090304 GO:1901360 GO:1903506 GO:2001141	GO:0000166 GO:0003676 GO:0003677 GO:0003684 GO:0003824 GO:0004386 GO:0005488 GO:0005515 GO:0005524 GO:0008094 GO:0015616 GO:0016787 GO:0017076 GO:0019899 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043175 GO:0070063 GO:0097159 GO:0097367 GO:0140097 GO:0140640 GO:0140657 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY33976.1	BSU00560	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869	GO:0003676 GO:0003677 GO:0005488 GO:0005515 GO:0042802 GO:0097159 GO:1901363	
ANY33977.1	BSU00570			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
ANY33978.1	BSU00580	GO:0006139 GO:0006163 GO:0006195 GO:0006203 GO:0006220 GO:0006244 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009056 GO:0009117 GO:0009141 GO:0009143 GO:0009144 GO:0009146 GO:0009147 GO:0009149 GO:0009151 GO:0009155 GO:0009166 GO:0009199 GO:0009200 GO:0009203 GO:0009204 GO:0009208 GO:0009210 GO:0009211 GO:0009213 GO:0009215 GO:0009217 GO:0009218 GO:0009219 GO:0009222 GO:0009223 GO:0009259 GO:0009261 GO:0009262 GO:0009264 GO:0009394 GO:0009987 GO:0019439 GO:0019637 GO:0019692 GO:0019693 GO:0034641 GO:0034655 GO:0044237 GO:0044238 GO:0044248 GO:0044270 GO:0044281 GO:0046046 GO:0046047 GO:0046051 GO:0046052 GO:0046060 GO:0046061 GO:0046070 GO:0046075 GO:0046076 GO:0046080 GO:0046081 GO:0046386 GO:0046434 GO:0046483 GO:0046700 GO:0055086 GO:0071704 GO:0072521 GO:0072523 GO:0072527 GO:0072529 GO:1901135 GO:1901136 GO:1901292 GO:1901360 GO:1901361 GO:1901564 GO:1901565 GO:1901575	GO:0003824 GO:0008168 GO:0016462 GO:0016740 GO:0016741 GO:0016787 GO:0016817 GO:0016818 GO:0047429	
ANY33979.1	BSU00590		GO:0003676 GO:0003723 GO:0005488 GO:0097159 GO:1901363	
ANY33980.1	BSU00600	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869		GO:0016020 GO:0042601 GO:0042763 GO:0110165
ANY33981.1	BSU00610	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869		GO:0016020 GO:0016021 GO:0031224 GO:0042601 GO:0042763 GO:0110165
ANY33982.1	BSU00620	GO:0009987 GO:0051301		
ANY33983.1	BSU00630	GO:0006412 GO:0006518 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0019538 GO:0034641 GO:0034645 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0071704 GO:1901564 GO:1901566 GO:1901576	GO:0003676 GO:0003723 GO:0003729 GO:0003735 GO:0005198 GO:0005488 GO:0097159 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0005840 GO:0015935 GO:0022626 GO:0022627 GO:0032991 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0044391 GO:0110165 GO:1990904
ANY33984.1	BSU00640	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869	GO:0003824 GO:0004721 GO:0004722 GO:0016787 GO:0016788 GO:0016791 GO:0017018 GO:0042578 GO:0140096	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0042601 GO:0042763 GO:0071944 GO:0110165
ANY33985.1	BSU00650			
ANY33986.1	BSU00660	GO:0006468 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009987 GO:0016310 GO:0019538 GO:0036211 GO:0043170 GO:0043412 GO:0044237 GO:0044238 GO:0071704 GO:1901564	GO:0000166 GO:0003824 GO:0004672 GO:0004674 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0106310 GO:0140096 GO:1901265 GO:1901363	
ANY33987.1	BSU00670	GO:0006139 GO:0006396 GO:0006399 GO:0006400 GO:0006725 GO:0006807 GO:0008033 GO:0008152 GO:0009451 GO:0009987 GO:0010467 GO:0016070 GO:0034470 GO:0034641 GO:0034660 GO:0043170 GO:0043412 GO:0044237 GO:0044238 GO:0046483 GO:0071704 GO:0090304 GO:1901360	GO:0000166 GO:0003824 GO:0005488 GO:0005524 GO:0016874 GO:0016879 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY36579.1	BSU00680	GO:0006139 GO:0006144 GO:0006163 GO:0006164 GO:0006166 GO:0006177 GO:0006178 GO:0006188 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009112 GO:0009113 GO:0009116 GO:0009117 GO:0009119 GO:0009123 GO:0009124 GO:0009126 GO:0009127 GO:0009150 GO:0009152 GO:0009156 GO:0009161 GO:0009163 GO:0009165 GO:0009167 GO:0009168 GO:0009259 GO:0009260 GO:0009987 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0032261 GO:0032263 GO:0032264 GO:0034404 GO:0034641 GO:0034654 GO:0042278 GO:0042451 GO:0042455 GO:0043094 GO:0043096 GO:0043101 GO:0043173 GO:0043174 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0044283 GO:0046037 GO:0046040 GO:0046098 GO:0046099 GO:0046100 GO:0046112 GO:0046128 GO:0046129 GO:0046390 GO:0046483 GO:0055086 GO:0071704 GO:0072521 GO:0072522 GO:0090407 GO:0106380 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:1901657 GO:1901659	GO:0000166 GO:0000287 GO:0003824 GO:0004422 GO:0005488 GO:0016740 GO:0016757 GO:0016763 GO:0036094 GO:0043167 GO:0043169 GO:0046872 GO:0052657 GO:0097159 GO:0106130 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY33988.1	BSU00690	GO:0006508 GO:0006807 GO:0007049 GO:0008152 GO:0009056 GO:0009057 GO:0009987 GO:0019538 GO:0030163 GO:0032502 GO:0043170 GO:0043934 GO:0044238 GO:0051301 GO:0071704 GO:1901564 GO:1901565 GO:1901575	GO:0000166 GO:0003824 GO:0004175 GO:0004176 GO:0004222 GO:0005488 GO:0005524 GO:0008233 GO:0008237 GO:0008270 GO:0016462 GO:0016787 GO:0016817 GO:0016818 GO:0016887 GO:0017076 GO:0017111 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0046914 GO:0097159 GO:0097367 GO:0140096 GO:0140657 GO:1901265 GO:1901363	GO:0005886 GO:0016020 GO:0016021 GO:0030428 GO:0031224 GO:0045121 GO:0071944 GO:0098857 GO:0110165
ANY33989.1	BSU00700	GO:0006139 GO:0006163 GO:0006164 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009117 GO:0009150 GO:0009152 GO:0009165 GO:0009259 GO:0009260 GO:0009987 GO:0015936 GO:0015937 GO:0016310 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0033865 GO:0033866 GO:0033875 GO:0034030 GO:0034032 GO:0034033 GO:0034641 GO:0034654 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046390 GO:0046483 GO:0055086 GO:0071704 GO:0072521 GO:0072522 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0004594 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY33990.1	BSU00710	GO:0006457 GO:0009987 GO:0042026	GO:0005488 GO:0005515 GO:0044183 GO:0051082	GO:0005622 GO:0005737 GO:0110165
ANY33991.1	BSU00720		GO:0003755 GO:0003824 GO:0016853 GO:0016859 GO:0140096	
ANY33992.1	BSU00730	GO:0000096 GO:0000097 GO:0000098 GO:0006082 GO:0006520 GO:0006534 GO:0006535 GO:0006555 GO:0006563 GO:0006790 GO:0006807 GO:0008152 GO:0008284 GO:0008652 GO:0009056 GO:0009058 GO:0009063 GO:0009066 GO:0009068 GO:0009069 GO:0009070 GO:0009087 GO:0009987 GO:0016053 GO:0016054 GO:0019344 GO:0019752 GO:0042127 GO:0043388 GO:0043436 GO:0044093 GO:0044237 GO:0044238 GO:0044248 GO:0044249 GO:0044272 GO:0044273 GO:0044281 GO:0044282 GO:0044283 GO:0046394 GO:0046395 GO:0048518 GO:0048522 GO:0050789 GO:0050794 GO:0051098 GO:0051099 GO:0051101 GO:0065007 GO:0065009 GO:0071704 GO:1901564 GO:1901565 GO:1901566 GO:1901575 GO:1901576 GO:1901605 GO:1901606 GO:1901607 GO:1904796 GO:1904798 GO:2000677 GO:2000679	GO:0003824 GO:0004122 GO:0004124 GO:0005488 GO:0005515 GO:0008134 GO:0016740 GO:0016765 GO:0016829 GO:0016835 GO:0016836 GO:0016846 GO:0042802 GO:0042803 GO:0046983 GO:0080146 GO:0140297	GO:0005622 GO:0005737 GO:0032991 GO:0032993 GO:0110165
ANY33993.1	BSU00740	GO:0000162 GO:0006082 GO:0006520 GO:0006568 GO:0006575 GO:0006576 GO:0006586 GO:0006725 GO:0006760 GO:0006766 GO:0006767 GO:0006807 GO:0008152 GO:0008652 GO:0009058 GO:0009072 GO:0009073 GO:0009110 GO:0009308 GO:0009309 GO:0009396 GO:0009987 GO:0016053 GO:0018130 GO:0019438 GO:0019752 GO:0034641 GO:0042364 GO:0042398 GO:0042401 GO:0042430 GO:0042435 GO:0042558 GO:0042559 GO:0043436 GO:0043603 GO:0043604 GO:0043648 GO:0043650 GO:0044106 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0044283 GO:0046219 GO:0046394 GO:0046483 GO:0046653 GO:0046654 GO:0046655 GO:0046656 GO:0071704 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:1901605 GO:1901607	GO:0000287 GO:0003824 GO:0005488 GO:0008483 GO:0016740 GO:0016769 GO:0043167 GO:0043169 GO:0046820 GO:0046872	
ANY33994.1	BSU00750	GO:0000162 GO:0006082 GO:0006520 GO:0006541 GO:0006568 GO:0006575 GO:0006576 GO:0006586 GO:0006725 GO:0006760 GO:0006766 GO:0006767 GO:0006807 GO:0008152 GO:0008652 GO:0009058 GO:0009064 GO:0009072 GO:0009073 GO:0009110 GO:0009308 GO:0009309 GO:0009396 GO:0009987 GO:0016053 GO:0018130 GO:0019438 GO:0019752 GO:0034641 GO:0042364 GO:0042398 GO:0042401 GO:0042430 GO:0042435 GO:0042558 GO:0042559 GO:0043436 GO:0043603 GO:0043604 GO:0043648 GO:0043650 GO:0044106 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0044283 GO:0046219 GO:0046394 GO:0046483 GO:0046653 GO:0046654 GO:0046655 GO:0046656 GO:0071704 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:1901605 GO:1901607	GO:0003824 GO:0004049 GO:0008483 GO:0016740 GO:0016769 GO:0016829 GO:0016830 GO:0016833 GO:0046820	
ANY33995.1	BSU00760	GO:0006082 GO:0006575 GO:0006725 GO:0006760 GO:0006766 GO:0006767 GO:0006807 GO:0008152 GO:0009058 GO:0009110 GO:0009396 GO:0009987 GO:0016053 GO:0018130 GO:0019438 GO:0019752 GO:0034641 GO:0042364 GO:0042398 GO:0042558 GO:0042559 GO:0043436 GO:0043603 GO:0043604 GO:0043648 GO:0043650 GO:0044237 GO:0044249 GO:0044271 GO:0044281 GO:0044283 GO:0046394 GO:0046483 GO:0046653 GO:0046654 GO:0046655 GO:0046656 GO:0071704 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0005488 GO:0008696 GO:0016829 GO:0016830 GO:0016833 GO:0019842 GO:0030170 GO:0036094 GO:0043167 GO:0043168 GO:0070279 GO:0097159 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY33996.1	BSU00770	GO:0006082 GO:0006575 GO:0006725 GO:0006760 GO:0006766 GO:0006767 GO:0006807 GO:0008152 GO:0009058 GO:0009110 GO:0009396 GO:0009987 GO:0016053 GO:0018130 GO:0019438 GO:0019752 GO:0034641 GO:0042364 GO:0042398 GO:0042558 GO:0042559 GO:0043436 GO:0043603 GO:0043604 GO:0043648 GO:0043650 GO:0044237 GO:0044249 GO:0044271 GO:0044281 GO:0044283 GO:0046394 GO:0046483 GO:0046653 GO:0046654 GO:0046655 GO:0046656 GO:0071704 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004156 GO:0005488 GO:0016740 GO:0016765 GO:0043167 GO:0043169 GO:0046872	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY33997.1	BSU00780	GO:0006082 GO:0006575 GO:0006725 GO:0006760 GO:0006766 GO:0006767 GO:0006807 GO:0008152 GO:0009058 GO:0009110 GO:0009396 GO:0009987 GO:0016053 GO:0018130 GO:0019438 GO:0019752 GO:0034641 GO:0042364 GO:0042398 GO:0042558 GO:0042559 GO:0043436 GO:0043603 GO:0043604 GO:0043648 GO:0043650 GO:0044237 GO:0044249 GO:0044271 GO:0044281 GO:0044283 GO:0046394 GO:0046483 GO:0046653 GO:0046654 GO:0046655 GO:0046656 GO:0071704 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004150 GO:0016829 GO:0016830 GO:0016832	GO:0005622 GO:0005737 GO:0110165
ANY33998.1	BSU00790	GO:0006082 GO:0006575 GO:0006725 GO:0006760 GO:0006766 GO:0006767 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009110 GO:0009396 GO:0009987 GO:0016053 GO:0016310 GO:0018130 GO:0019438 GO:0019752 GO:0034641 GO:0042364 GO:0042398 GO:0042558 GO:0042559 GO:0043436 GO:0043603 GO:0043604 GO:0043648 GO:0043650 GO:0044237 GO:0044249 GO:0044271 GO:0044281 GO:0044283 GO:0046394 GO:0046483 GO:0046653 GO:0046654 GO:0046655 GO:0046656 GO:0071704 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0003848 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016778 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	
ANY33999.1	BSU00800	GO:0006355 GO:0009889 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0097159 GO:0140110 GO:1901363	
ANY34000.1	BSU00810	GO:0002943 GO:0006139 GO:0006396 GO:0006399 GO:0006400 GO:0006725 GO:0006807 GO:0008033 GO:0008152 GO:0009451 GO:0009987 GO:0010467 GO:0016070 GO:0034470 GO:0034641 GO:0034660 GO:0043170 GO:0043412 GO:0044237 GO:0044238 GO:0046483 GO:0071704 GO:0090304 GO:1901360	GO:0000049 GO:0000166 GO:0003676 GO:0003723 GO:0003824 GO:0005488 GO:0016491 GO:0016627 GO:0017150 GO:0036094 GO:0043167 GO:0043168 GO:0050660 GO:0097159 GO:0106413 GO:0140098 GO:0140101 GO:0140640 GO:1901265 GO:1901363	
ANY34001.1	BSU00820	GO:0006082 GO:0006139 GO:0006399 GO:0006412 GO:0006418 GO:0006430 GO:0006518 GO:0006520 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016070 GO:0019538 GO:0019752 GO:0034641 GO:0034645 GO:0034660 GO:0043038 GO:0043039 GO:0043043 GO:0043170 GO:0043436 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0044281 GO:0046483 GO:0071704 GO:0090304 GO:1901360 GO:1901564 GO:1901566 GO:1901576	GO:0000049 GO:0000166 GO:0000287 GO:0003676 GO:0003723 GO:0003824 GO:0004812 GO:0004824 GO:0005488 GO:0005524 GO:0016874 GO:0016875 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:0140098 GO:0140101 GO:0140640 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
ANY34002.1	BSU13350	GO:0006629 GO:0006643 GO:0006664 GO:0008152 GO:0008610 GO:0009058 GO:0009247 GO:0009987 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0046467 GO:0071704 GO:1901135 GO:1901137 GO:1901576 GO:1903509	GO:0003824 GO:0016740 GO:0016757 GO:0016758	
ANY34003.1	BSU00830	GO:0006355 GO:0009889 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0005488 GO:0097159 GO:1901363	
ANY34004.1	BSU00840	GO:0006508 GO:0006807 GO:0006950 GO:0008152 GO:0010035 GO:0010038 GO:0019538 GO:0042221 GO:0043170 GO:0044238 GO:0046686 GO:0046688 GO:0050896 GO:0071704 GO:0097501 GO:1901564 GO:1990169 GO:1990170	GO:0005488 GO:0005507 GO:0008270 GO:0043167 GO:0043169 GO:0046870 GO:0046872 GO:0046914 GO:0050897	
ANY34005.1	BSU00850	GO:0006575 GO:0006599 GO:0006603 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009987 GO:0016310 GO:0019637 GO:0042396 GO:0042398 GO:0044237 GO:0046314 GO:0071704 GO:0090407 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0004111 GO:0004672 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0016775 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140096 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY34006.1	BSU00860	GO:0007154 GO:0009292 GO:0009294 GO:0009605 GO:0009987 GO:0009991 GO:0030420 GO:0031668 GO:0050896 GO:0051716 GO:0071496	GO:0000166 GO:0003824 GO:0005488 GO:0005524 GO:0016462 GO:0016787 GO:0016817 GO:0016818 GO:0016887 GO:0017076 GO:0017111 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140657 GO:1901265 GO:1901363	
ANY34007.1	BSU00870	GO:0000725 GO:0006139 GO:0006259 GO:0006281 GO:0006310 GO:0006725 GO:0006807 GO:0006950 GO:0006974 GO:0008152 GO:0009987 GO:0033554 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0050896 GO:0051716 GO:0071704 GO:0090304 GO:1901360	GO:0000166 GO:0003676 GO:0003677 GO:0003684 GO:0003824 GO:0005488 GO:0005524 GO:0008094 GO:0016787 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:0140097 GO:0140299 GO:0140612 GO:0140640 GO:0140657 GO:0140664 GO:1901265 GO:1901363	
ANY34008.1	BSU00880	GO:0006139 GO:0006259 GO:0006281 GO:0006725 GO:0006807 GO:0006950 GO:0006974 GO:0007154 GO:0007165 GO:0008152 GO:0009987 GO:0019932 GO:0023052 GO:0033554 GO:0034641 GO:0035556 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0050789 GO:0050794 GO:0050896 GO:0051716 GO:0065007 GO:0071704 GO:0090304 GO:1901360	GO:0000166 GO:0003676 GO:0003677 GO:0003824 GO:0004016 GO:0005488 GO:0005524 GO:0009975 GO:0016740 GO:0016772 GO:0016779 GO:0016829 GO:0016849 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0106408 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
ANY34009.1	BSU00890	GO:0006139 GO:0006725 GO:0006807 GO:0008152 GO:0009987 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0046483 GO:0071704 GO:0090304 GO:0090305 GO:1901360	GO:0003824 GO:0004518 GO:0005488 GO:0016787 GO:0016788 GO:0043167 GO:0043169 GO:0046872	
ANY34010.1	BSU00900	GO:0006081 GO:0006082 GO:0006090 GO:0006629 GO:0006644 GO:0006720 GO:0006721 GO:0006793 GO:0006796 GO:0008152 GO:0008299 GO:0008610 GO:0008654 GO:0009058 GO:0009240 GO:0009987 GO:0016114 GO:0019288 GO:0019637 GO:0019682 GO:0019752 GO:0032787 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0044281 GO:0046490 GO:0071704 GO:0090407 GO:1901135 GO:1901576	GO:0003824 GO:0016740 GO:0016772 GO:0016779 GO:0050518 GO:0070567	
ANY34011.1	BSU00910	GO:0006081 GO:0006082 GO:0006090 GO:0006629 GO:0006644 GO:0006720 GO:0006721 GO:0006793 GO:0006796 GO:0008152 GO:0008299 GO:0008610 GO:0008654 GO:0009058 GO:0009240 GO:0009987 GO:0016114 GO:0019288 GO:0019637 GO:0019682 GO:0019752 GO:0032787 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0044281 GO:0046490 GO:0071704 GO:0090407 GO:1901135 GO:1901576	GO:0003824 GO:0005488 GO:0008685 GO:0016829 GO:0016849 GO:0043167 GO:0043169 GO:0046872	
ANY34012.1	BSU00920	GO:0006082 GO:0006139 GO:0006399 GO:0006412 GO:0006418 GO:0006424 GO:0006518 GO:0006520 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016070 GO:0019538 GO:0019752 GO:0034641 GO:0034645 GO:0034660 GO:0043038 GO:0043039 GO:0043043 GO:0043170 GO:0043436 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0044281 GO:0046483 GO:0071704 GO:0090304 GO:1901360 GO:1901564 GO:1901566 GO:1901576	GO:0000049 GO:0000166 GO:0003676 GO:0003723 GO:0003824 GO:0004812 GO:0004818 GO:0005488 GO:0005524 GO:0008270 GO:0016874 GO:0016875 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0046914 GO:0097159 GO:0097367 GO:0140098 GO:0140101 GO:0140640 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
